14,15
6,7
13,9
3,4
2,2
10,10
15,15
11,11
12,12
19,19
13,9
3,4
13,9
7,7
23,23
18,18
6,7
20,20
2,2
7,7
10,10
22,22
17,17
4,10
21,21
19,19
17,17
12,13
20,20
5,10
14,14
23,23
1,1
16,16
22,22
9,9
8,8
23,23
5,5
17,16
15,15
20,20
22,22
12,12
10,10
9,9
1,1
8,8
19,19
1,1
9,9
18,16
16,16
4,10
6,6
4,9
2,6
11,11
16,16
21,21
3,4
15,15
7,11
8,8
21,21
14,14
5,5
11,11
18,18
3,4
11,11
22,22
15,15
23,23
21,21
15,15
7,7
6,6
18,18
9,9
11,11
17,16
5,5
17,16
2,2
1,1
20,20
3,4
12,12
3,3
23,23
14,14
16,16
8,8
21,21
17,16
12,12
16,11
9,9
1,6
10,10
10,10
11,11
19,19
18,12
4,4
13,13
8,8
5,5
10,10
8,8
5,5
15,15
2,6
2,6
12,12
4,4
13,9
18,12
19,19
21,16
7,7
13,13
22,22
20,20
9,9
19,19
4,4
20,20
22,17
16,16
7,7
23,23
14,14
1,1
6,6
14,14
6,7
