6,7
11,13
2,8
22,22
22,22
12,18
6,6
13,14
21,17
1,2
13,13
16,16
5,5
20,20
19,19
17,18
15,15
12,14
14,14
23,19
9,9
8,8
5,10
10,10
19,19
2,2
8,7
4,4
3,3
23,23
15,15
16,16
20,20
7,13
23,19
7,13
2,2
13,9
18,18
11,11
9,9
12,18
1,1
14,14
8,8
18,19
3,4
18,14
1,2
16,16
21,21
4,10
7,7
10,10
19,19
22,21
15,15
20,20
17,17
5,10
17,16
6,6
3,3
4,4
10,10
9,9
21,17
14,14
11,11
15,15
3,4
22,22
2,8
3,3
22,19
9,9
6,7
15,15
20,20
13,13
12,12
23,23
17,17
7,7
18,18
10,10
16,16
12,12
14,14
22,22
18,18
9,9
20,20
18,18
5,10
11,11
7,7
11,13
4,4
2,8
11,11
5,5
14,14
14,14
16,16
21,17
4,8
7,7
19,19
21,21
17,17
17,17
1,1
10,8
1,6
20,19
10,10
13,13
16,16
6,7
12,12
1,1
5,4
8,13
15,15
23,23
3,8
19,17
2,8
9,9
8,13
21,17
6,11
13,13
19,19
8,8
23,23
4,4
