0,0,0
0,0,0
16.0041494619364,27.72,0
0,0,0
0,0,0
0,-55.44,0
16.0041494619364,-27.72,0
0,0,0
16.0041494619364,-27.72,0
-16.0041494619364,-27.72,0
16.0041494619364,-27.72,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-16.0041494619364,-27.72,0
16.0041494619364,27.72,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
16.0041494619364,-27.72,0
0,0,0
0,0,0
-16.0041494619364,27.72,0
0,0,0
32.0082989238729,0,0
0,55.44,0
0,0,0
0,0,0
0,0,0
0,0,0
16.0041494619364,-27.72,0
16.0041494619364,27.72,0
0,0,0
0,0,0
16.0041494619364,-27.72,0
0,0,0
0,0,0
-16.0041494619364,27.72,0
0,0,0
16.0041494619364,-27.72,0
0,0,0
0,0,0
32.0082989238729,0,0
16.0041494619364,-27.72,0
0,0,0
0,0,0
16.0041494619364,27.72,0
0,0,0
16.0041494619364,27.72,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,55.44,0
-16.0041494619364,27.72,0
-16.0041494619364,27.72,0
16.0041494619364,27.72,0
0,0,0
16.0041494619364,27.72,0
-16.0041494619364,27.72,0
16.0041494619364,27.72,0
0,55.44,0
0,0,0
0,0,0
16.0041494619364,27.72,0
32.0082989238729,0,0
16.0041494619364,-27.72,0
16.0041494619364,27.72,0
-16.0041494619364,-27.72,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
16.0041494619364,27.72,0
-16.0041494619364,27.72,0
-16.0041494619364,27.72,0
0,0,0
16.0041494619364,27.72,0
0,0,0
0,0,0
0,0,0
0,0,0
16.0041494619364,27.72,0
16.0041494619364,27.72,0
0,0,0
0,0,0
16.0041494619364,27.72,0
-16.0041494619364,27.72,0
-16.0041494619364,27.72,0
0,0,0
-16.0041494619364,27.72,0
16.0041494619364,27.72,0
0,0,0
0,0,0
16.0041494619364,-27.72,0
0,0,0
0,0,0
0,0,0
16.0041494619364,-27.72,0
0,0,0
0,0,0
0,0,0
0,55.44,0
-16.0041494619364,-27.72,0
-16.0041494619364,-27.72,0
-16.0041494619364,-27.72,0
